BLUXREWOJASEPYDR	6	Blue Jays	Brewers	Padres	Rays	Red Sox	Reds
PHILWRLTDSEIXODG	6	Dodgers	Phillies	Red Sox	Reds	Tigers	White Sox
WGOLHIESPTROSADX	6	Astros	Orioles	Padres	Pirates	Tigers	White Sox
MARLYNIWSEKTEROC	6	Mariners	Marlins	Rays	Rockies	Twins	Yankees
STRDNAIOCGSNERLA	6	Astros	Cardinals	Giants	Nationals	Rangers	Tigers
CUIPMRBNAESEVTWR	6	Braves	Brewers	Cubs	Mariners	Mets	Pirates
PAODUDRLIGESRANT	6	Angels	Dodgers	Giants	Guardians	Padres	Rangers
MWVREAESYRLNBOIO	6	Braves	Brewers	Mariners	Marlins	Orioles	Royals
CLBDTUOSSREDYAJG	6	Astros	Blue Jays	Cubs	Dodgers	Rays	Reds
MTSAAELNCRIOOKDP	6	Cardinals	Marlins	Mets	Orioles	Pirates	Rockies
BKEWNRVESARSLTYO	6	Astros	Braves	Brewers	Rays	Royals	Yankees
GUAMLRWTDIESPANR	6	Guardians	Mariners	Marlins	Padres	Pirates	Twins
METSKNEYCIAVGORB	6	Braves	Giants	Mets	Rays	Rockies	Yankees
ANOSSLIOETRPGNAM	6	Angels	Astros	Marlins	Nationals	Orioles	Pirates
TWNREIESKRGDBCOD	6	Brewers	Dodgers	Reds	Rockies	Tigers	Twins
PHASIRTMLIERLNSO	6	Astros	Mariners	Marlins	Mets	Phillies	Pirates
PARXCEDOEISYKNAL	6	Cardinals	Padres	Red Sox	Reds	Royals	Yankees
BSAVURETCOIGDKDP	6	Braves	Cubs	Dodgers	Pirates	Rockies	Tigers
MYOSAETRLSIWXONH	6	Astros	Mets	Orioles	Royals	Twins	White Sox
MAPBVDRHSEILRNIL	6	Braves	Mariners	Marlins	Padres	Phillies	Reds
MERXGTSOWINBHAUC	6	Cubs	Giants	Mets	Tigers	Twins	White Sox
YOROLAICSENKRGE_	6	Angels	Orioles	Rangers	Rockies	Royals	Yankees
CAUGYRDIESNAMTLP	6	Cardinals	Giants	Guardians	Mets	Padres	Rays
DODTNGIAALENMRSR	6	Angels	Dodgers	Marlins	Nationals	Rangers	Tigers
SCKPORITATEOYSHL	6	Astros	Athletics	Orioles	Pirates	Rays	Rockies
NAIORTGNSEAKMLEY	6	Angels	Giants	Mets	Nationals	Tigers	Yankees
BMUJNLAEISRYWTOS	6	Astros	Blue Jays	Marlins	Rays	Royals	Twins
BRAMKINVCGETORSL	6	Angels	Braves	Giants	Mariners	Rangers	Rockies
KEEMNATSRIYLPONA	6	Mets	Nationals	Pirates	Rays	Royals	Yankees
CUBRAGESDRNL_IAM	6	Angels	Cardinals	Cubs	Guardians	Mariners	Rangers
TIGSCEDOLSRDHTAP	6	Astros	Athletics	Dodgers	Padres	Reds	Tigers
OOPHRILIAGELNTSM	6	Angels	Giants	Mets	Orioles	Phillies	Pirates
YANKDGREOSEWXDRB	6	Brewers	Dodgers	Rangers	Red Sox	Reds	Yankees
ROYMESACNLRUAIDG	6	Cardinals	Guardians	Mariners	Marlins	Rays	Royals
PIRNCTGAUSETBRLH	6	Angels	Athletics	Cubs	Pirates	Rangers	Tigers
GANTUILSARDOMCEX	6	Cardinals	Giants	Guardians	Marlins	Red Sox	Reds
YANBVGRKIEERTWSL	6	Angels	Braves	Brewers	Rangers	Tigers	Yankees
PTOXIAESHRDB_WUC	6	Cubs	Padres	Pirates	Red Sox	Reds	White Sox
BRAUDAGVWINE_TSR	6	Braves	Giants	Guardians	Rangers	Tigers	Twins
CBSTULEYKEAMGNJR	6	Angels	Blue Jays	Cubs	Mets	Rays	Yankees
BREHAGIWMNETXOSR	6	Brewers	Mariners	Rangers	Tigers	Twins	White Sox
XSDAOREPCILHKOIL	6	Orioles	Padres	Phillies	Red Sox	Reds	Rockies
CUBHISLTTEASMROY	6	Astros	Athletics	Cubs	Mets	Rays	Royals
MAROTINGWOESNALR	6	Angels	Mariners	Nationals	Orioles	Rangers	Twins
WHICLTTSMERADSOX	6	Astros	Athletics	Mets	Red Sox	Reds	White Sox
PHILREGLSNIRTWAM	6	Giants	Mariners	Marlins	Phillies	Rangers	Twins
BLNPUSAICEYDJARO	6	Blue Jays	Cardinals	Cubs	Padres	Rays	Royals
BRAVHNEDIWSOTERX	6	Braves	Brewers	Red Sox	Reds	Twins	White Sox
DITNRONAOALGCYSE	6	Angels	Cardinals	Nationals	Orioles	Rays	Royals
PNOXADSDIREGBVAU	6	Braves	Dodgers	Guardians	Padres	Red Sox	Reds