PAGUVCNGAIESLKTR	6	Cavaliers	Kings	Lakers	Nets	Nuggets	Pacers
BUSKSNCWCEAIPHLT	6	Bucks	Celtics	Hawks	Heat	Pelicans	Suns
BGLLGUNSPEROISTH	6	Bulls	Hornets	Nets	Nuggets	Pistons	Spurs
SUNDLHESTAKRJWZZ	6	Hawks	Heat	Jazz	Lakers	Suns	Thunder
BUSLRPLGSEAITNCM	6	Bulls	Magic	Nets	Pacers	Pelicans	Spurs
SUNSITORPAECLRKH	6	Heat	Lakers	Pistons	Raptors	Rockets	Suns
BERSHUCKPAWIMSGN	6	Bucks	Hawks	Kings	Magic	Pacers	Spurs
BULLSHNSITEDWZAR	6	Bulls	Heat	Nets	Suns	Thunder	Wizards
KLCMNIAKPGESSPUR	6	Clippers	Kings	Knicks	Lakers	Magic	Spurs
UHRSNETODCAPZZRJ	6	Heat	Jazz	Nets	Pacers	Raptors	Thunder
CWZHKIAKSRNSDUPG	6	Hawks	Kings	Knicks	Spurs	Suns	Wizards
NORSCETCKPLIRAP_	6	Celtics	Clippers	Lakers	Nets	Raptors	Rockets
MTVHSAERUGICGNSK	6	Heat	Kings	Magic	Mavericks	Nuggets	Suns
HWKSACENPROTRISR	6	Hawks	Nets	Pacers	Pistons	Rockets	Warriors
JAZZKELISIRGPUNS	6	Grizzlies	Jazz	Kings	Lakers	Spurs	Suns
MAGBVRIUNEOCTSKH	6	Bucks	Hornets	Magic	Mavericks	Nets	Rockets
KINGSUSDRPHEOTAR	6	Heat	Kings	Raptors	Spurs	Suns	Thunder
BUSKLLCRAAIEPVKN	6	Bucks	Bulls	Cavaliers	Knicks	Lakers	Pacers
JAZZCCNRIESULTPS	6	Celtics	Jazz	Nets	Pelicans	Spurs	Suns
INUBKCGSOGKTRHEA	6	Bucks	Heat	Kings	Knicks	Nuggets	Rockets
SUOHITNRLPESCPAR	6	Clippers	Hornets	Nets	Pistons	Raptors	Suns
JPZZKALICETCHORS	6	Celtics	Heat	Jazz	Lakers	Pacers	Rockets
WARRKTHISEUODNRS	6	Hawks	Hornets	Nets	Suns	Thunder	Warriors
MVTHLAESGKRKNICO	6	Heat	Knicks	Lakers	Magic	Mavericks	Rockets
CSTLKIEOPCNGBUGS	6	Bucks	Celtics	Kings	Nets	Nuggets	Pistons
SUNSRTPREOARKCIW	6	Pacers	Raptors	Rockets	Spurs	Suns	Warriors
BCKSUNTWGEAZGJHZ	6	Bucks	Hawks	Heat	Jazz	Nets	Nuggets
SUNSPCRCAAEIVKLT	6	Cavaliers	Celtics	Lakers	Pacers	Spurs	Suns
BLCKLUSIHTNDOREK	6	Bucks	Bulls	Hornets	Knicks	Nets	Thunder
CERNHAOSWTPRKSIU	6	Hawks	Heat	Pacers	Pistons	Raptors	Spurs
MAICGGSTSUELBNLC	6	Bulls	Celtics	Magic	Nets	Nuggets	Suns
HILAPECVRPATUSSN	6	Cavaliers	Clippers	Heat	Pacers	Pelicans	Spurs
PISHROTUCENGKDGS	6	Nets	Nuggets	Pistons	Rockets	Suns	Thunder
TERDHAKSZWLCILUB	6	Bucks	Bulls	Hawks	Heat	Lakers	Wizards
JAZZPCNSIEROLSTH	6	Hornets	Jazz	Nets	Pacers	Pelicans	Pistons
KICSDNGKUEAWRHTM	6	Hawks	Heat	Kings	Knicks	Magic	Thunder
BULJCKALOESZNRTZ	6	Bucks	Bulls	Jazz	Lakers	Nets	Rockets
MGPTAPILNCECSUSR	6	Celtics	Clippers	Magic	Pacers	Pelicans	Suns
LKZRBAESLNTHIARO	5	Heat	Hornets	Lakers	Nets	Trail Blazers
PPERKILSSCNGBUAK	6	Bucks	Clippers	Kings	Knicks	Pelicans	Suns
BLLHUPOSACTRRKEN	6	Bulls	Hornets	Nets	Pacers	Raptors	Rockets
TIPSCLPRASEUNKCB	6	Bucks	Celtics	Clippers	Lakers	Pelicans	Spurs
JAZZMGICUNGKKETS	6	Jazz	Kings	Knicks	Magic	Nets	Nuggets
BSROLUNTLCPSRAKI	6	Bucks	Bulls	Pistons	Raptors	Spurs	Suns
MWKCHAISONGTRCEL	6	Celtics	Hawks	Hornets	Kings	Magic	Nets
SUSKRINKLECAPAVM	6	Cavaliers	Knicks	Mavericks	Pacers	Pelicans	Suns
JIZZWAENHKRTCOSD	6	Hawks	Hornets	Jazz	Nets	Rockets	Wizards
BULLKNCSEIGKRVAM	6	Bucks	Bulls	Kings	Knicks	Magic	Mavericks
CEDSZARNIPUOWSTH	6	Pacers	Pistons	Spurs	Suns	Thunder	Wizards
HORRCIRAKSNWTEGK	6	Hornets	Kings	Knicks	Nets	Rockets	Warriors