COWRSNOBTYAIJEXG	6	Broncos	Browns	Cowboys	Giants	Jets	Texans
JARULSGAINEVOKIB	6	Bears	Bengals	Jaguars	Lions	Ravens	Vikings
COLSDLNTPAIGFHTB	6	Bills	Colts	Dolphins	Falcons	Giants	Titans
JETSAENBVGLEUARS	6	Bengals	Eagles	Jaguars	Jets	Ravens	Steelers
HCOTLINSEAKGFSIV	6	Chiefs	Falcons	Giants	Lions	Saints	Vikings
JXRLBEASCDTNRAIT	6	Bears	Cardinals	Jets	Raiders	Texans	Titans
EGLEALYSIONORBWC	6	Bills	Broncos	Browns	Cowboys	Eagles	Lions
JSFLNETOXAICPRTH	6	Chiefs	Colts	Jets	Patriots	Texans	Titans
BDOWERNCLASOGEMM	6	Bears	Broncos	Browns	Commanders	Eagles	Rams
PTCGRAIKNTEDSRHJ	6	Giants	Jets	Packers	Panthers	Raiders	Titans
FAXECLNTIOLSWBOY	6	Bills	Colts	Cowboys	Falcons	Lions	Texans
PAJHGNTEUSRIMATO	6	Jaguars	Jets	Panthers	Patriots	Rams	Titans
COTSHALERGEESRNB	6	Bears	Bengals	Chargers	Colts	Eagles	Steelers
GTSKINHWTAEAPSRV	6	Giants	Panthers	Ravens	Saints	Seahawks	Titans
OCNYSWOSTLBREEEA	6	Bears	Broncos	Browns	Colts	Cowboys	Steelers
FONYDIRTNEASRSVM	5	Forty-Niners	Raiders	Rams	Ravens	Saints
HLTDPIOSARNCBTOW	6	Broncos	Browns	Colts	Dolphins	Lions	Patriots
PKCVGAEALNRBESID	6	Bears	Bengals	Cardinals	Eagles	Packers	Ravens
YOBRSCOWLANTFTIS	6	Broncos	Browns	Cowboys	Falcons	Saints	Titans
UAMSRGRFCAEDJHIB	6	Bears	Chargers	Chiefs	Jaguars	Raiders	Rams
SREHTITXONAFCLSP	6	Falcons	Panthers	Patriots	Saints	Texans	Titans
BERLDNASRIGMACOM	6	Bears	Bengals	Cardinals	Commanders	Raiders	Rams
BIEAHRLFOCSLWNOT	6	Bills	Broncos	Browns	Chiefs	Colts	Falcons
JETSGNEBIARULSCC	6	Bears	Bengals	Buccaneers	Giants	Jets	Saints
LIOGKVNSIEAMTTXR	6	Lions	Rams	Ravens	Texans	Titans	Vikings
DOCPFELHSGITEANS	6	Chiefs	Colts	Dolphins	Eagles	Giants	Saints
JBTSXERKSAWOMNHA	6	Bears	Browns	Jets	Rams	Seahawks	Texans
LOTSRINRTADEPSCK	6	Lions	Packers	Patriots	Raiders	Saints	Titans
CHAROJGEELRUTSMA	6	Chargers	Colts	Eagles	Jaguars	Jets	Rams
KCVPBEAIHRNSSTOW	6	Bears	Browns	Packers	Panthers	Ravens	Saints
FXESGAETILNRCOES	6	Eagles	Falcons	Giants	Lions	Steelers	Texans
JETSBVNRIIAGKLLS	6	Bengals	Bills	Jets	Ravens	Saints	Vikings
HEEESTRLNAISPOTG	6	Giants	Lions	Panthers	Patriots	Steelers	Titans
JILEBASLERGM_NAU	6	Bears	Bengals	Bills	Eagles	Jaguars	Rams
COTSLINKTAEWFSHA	6	Colts	Falcons	Lions	Saints	Seahawks	Titans
STEBHNEXELAVSRGP	6	Bears	Eagles	Panthers	Ravens	Steelers	Texans
COMGLSMIRTDAJENR	6	Colts	Commanders	Giants	Jets	Raiders	Rams
BROWTINTEALSPXSL	6	Bills	Browns	Lions	Patriots	Saints	Texans
JENPBTAGHSLCREKO	6	Bengals	Colts	Eagles	Jets	Packers	Panthers
DOLPRNIHSAECMFVB	6	Bears	Chiefs	Dolphins	Lions	Rams	Ravens
VIKBSNILTAGLXESE	6	Bills	Eagles	Giants	Saints	Texans	Vikings
HINDPLOSACTRFKEJ	6	Colts	Dolphins	Falcons	Jets	Lions	Packers
STEBMGNEIALSRDER	6	Bengals	Eagles	Giants	Raiders	Rams	Steelers
TVXJRAESPINTHLOD	6	Dolphins	Jets	Lions	Patriots	Ravens	Texans
SLNTRAISHGRDCAEB	6	Bears	Cardinals	Chargers	Giants	Raiders	Saints
BLEEIRLTSOESOCNJ	6	Bills	Broncos	Colts	Jets	Lions	Steelers
STKVRNIIAGATUMSJ	6	Giants	Jaguars	Rams	Saints	Titans	Vikings
BROWERSNGACOFHLI	6	Bears	Broncos	Browns	Chargers	Falcons	Lions
FJTSSENKXAIWCHAG	6	Chiefs	Giants	Jets	Saints	Seahawks	Texans
BEOGVINADALSCRML	6	Bengals	Bills	Cardinals	Lions	Rams	Ravens