PREGSDNVRALIOTSW	6	Devils	Islanders	Predators	Rangers	Stars	Wild
OIKFBRLSSAEYHKMN	6	Flames	Flyers	Kraken	Oilers	Sabres	Sharks
RLDWBUINECESAJKT	6	Blue Jackets	Blues	Bruins	Ducks	Jets	Wild
KISGWENTRDAOPBRS	6	Kings	Predators	Red Wings	Sabres	Senators	Stars
BCANSLUDICEROVKS	6	Blues	Canucks	Devils	Ducks	Islanders	Oilers
STAKORENKYSJFLOC	6	Coyotes	Flyers	Jets	Kraken	Senators	Stars
WICKDUNSEGRASRBC	6	Bruins	Canucks	Ducks	Rangers	Red Wings	Sabres
COYOIVSTWLERBUDJ	6	Blues	Coyotes	Devils	Jets	Oilers	Wild
FLRKSKAMINERWDGS	6	Flames	Islanders	Kings	Kraken	Rangers	Red Wings
STRSEAEKJUCYDFLB	6	Blue Jackets	Blues	Ducks	Flyers	Jets	Stars
SHRKRAKSNELIGDVO	6	Devils	Islanders	Kraken	Oilers	Rangers	Sharks
KCNGEIASTJUBSERL	6	Blue Jackets	Blues	Bruins	Jets	Kings	Sabres
_TNPSHADILEROVSK	6	Devils	Islanders	Oilers	Panthers	Sharks	Stars
KLINBRUSSAEGRKNP	6	Blues	Bruins	Kraken	Penguins	Rangers	Sabres
KWNGCIDSOLERFYOT	6	Coyotes	Flyers	Kings	Oilers	Red Wings	Wild
KRCKSOAELJTNBUES	6	Blue Jackets	Blues	Jets	Kraken	Senators	Stars
_WVODEIUYLRNFBSG	6	Bruins	Devils	Flyers	Oilers	Red Wings	Wild
SHBLCARUKJEKNETS	6	Blue Jackets	Blues	Jets	Kraken	Sabres	Sharks
FMNGLAESRYTRSOOC	6	Coyotes	Flames	Flyers	Rangers	Senators	Stars
DUCKNERSKALICHSO	6	Canucks	Ducks	Islanders	Kraken	Oilers	Sharks
WILGVDNSREARPSTO	6	Devils	Predators	Red Wings	Senators	Stars	Wild
BRUPSIEGNKNSKRAH	6	Bruins	Kings	Kraken	Penguins	Rangers	Sharks
SRBJCAESOPTLYOIA	6	Capitals	Coyotes	Jets	Oilers	Sabres	Stars
APTHRNERBUGSLKIN	6	Blues	Bruins	Kings	Panthers	Penguins	Rangers
OIWFNVLDGAESSMBR	6	Devils	Flames	Oilers	Red Wings	Sabres	Wild
PORSCATKRHNCSEGU	6	Canucks	Panthers	Rangers	Senators	Sharks	Stars
FMRJALESDIYTWCOO	6	Coyotes	Flames	Flyers	Jets	Oilers	Wild
STCPLAIABURNHRES	6	Blues	Bruins	Capitals	Hurricanes	Sabres	Stars
PREGSDNSRALIOTWK	6	Islanders	Kings	Predators	Rangers	Senators	Wild
LUTJBAESSRCHKWAK	6	Blackhawks	Blues	Jets	Sabres	Sharks	Stars
KRACGNKNSEIARLDW	6	Canadiens	Kings	Kraken	Rangers	Red Wings	Wild
STNPIHAMOLERFYKS	6	Flames	Flyers	Oilers	Panthers	Sharks	Stars
CASKNNECAIUBWDLR	6	Blues	Bruins	Canadiens	Canucks	Ducks	Wild
FCAPLYTISAESBRMJ	6	Capitals	Flames	Flyers	Jets	Sabres	Stars
UCISDNKLGEARRSHC	6	Canucks	Ducks	Islanders	Kings	Rangers	Sharks
FOINBLUSAREGSMNP	6	Blues	Bruins	Flames	Oilers	Penguins	Sabres
DCKSUNORETAYSHOC	6	Canucks	Coyotes	Ducks	Senators	Sharks	Stars
FYRSSLEMIDAGWONR	6	Flames	Flyers	Islanders	Oilers	Rangers	Wild
DUCKHNRSSAERTKCI	6	Canucks	Ducks	Hurricanes	Kraken	Sharks	Stars
SABLNRUSWIEGKDNP	6	Blues	Bruins	Kings	Penguins	Red Wings	Sabres
SHKPTEACJNRKDUCS	6	Canucks	Ducks	Jets	Kraken	Panthers	Sharks
KVNGSIESLDWRANAC	6	Canadiens	Devils	Islanders	Kings	Red Wings	Wild
KCUCSNADRTEROJPS	6	Canucks	Ducks	Jets	Predators	Senators	Stars
KRAPBUEKGNIDSNLW	6	Bruins	Kings	Kraken	Penguins	Red Wings	Wild
SERBHTASICNLPAVA	5	Avalanche	Capitals	Panthers	Sabres	Stars
CANCKURASEDKGNIW	6	Canadiens	Canucks	Ducks	Kings	Kraken	Red Wings
COYORNTSSAEHPRDJ	6	Coyotes	Jets	Panthers	Predators	Senators	Stars
DCKNBUISRNGRACEP	6	Bruins	Canucks	Ducks	Kings	Penguins	Rangers
CAPOMLITYEFARSLE	5	Capitals	Flames	Flyers	Maple Leafs	Oilers
WNGHKITIVNLSEDGO	5	Devils	Golden Knights	Kings	Lightning	Wild