SWRKGEAMNLDNPOEY	6	Denmark	England	Germany	Poland	Sweden	Wales
GEESCRTUEIOALAND	6	Austria	Croatia	Estonia	Greece	Iceland	Ireland
ATRYIALKMNGUDENH	6	Denmark	England	Hungary	Italy	Malta	Ukraine
PAIDSCONETAUILHW	6	Estonia	Iceland	Lithuania	Scotland	Spain	Wales
RMEDOVANTLIKSANF	6	Finland	Latvia	Malta	Romania	Slovakia	Slovenia
PSCZTOEDRLNCFAIH	6	Czechia	Estonia	France	Iceland	Poland	Scotland
YRITELAHNGNUFIAD	6	England	Finland	Hungary	Ireland	Italy	Lithuania
SPANETOIULRMBGAW	6	Bulgaria	Estonia	Malta	Portugal	Spain	Wales
FGEEMRCEOANILYTA	6	Croatia	France	Germany	Greece	Italy	Romania
WLEVASONUTPI_KRA	6	Austria	Estonia	Slovenia	Spain	Ukraine	Wales
SCRKITORLAADYMNE	6	Andorra	Croatia	Denmark	Italy	Malta	Scotland
WOVSUALENKRNDAIF	6	Finland	Ireland	Slovakia	Slovenia	Ukraine	Wales
PMCEAORSNLTUDIAG	6	Estonia	Malta	Poland	Portugal	Romania	Scotland
SDEEWENCLARF_NIG	6	Finland	France	Greece	Ireland	Sweden	Wales
POCSVTLMAIANKRED	6	Denmark	Latvia	Malta	Poland	Scotland	Slovakia
WALCIIRENOTSMAUH	6	Austria	Croatia	Estonia	Lithuania	Romania	Wales
FREHIALTNNEODSCP	6	Finland	France	Ireland	Netherlands	Poland	Scotland
WELYSADERTONCRIA	6	Andorra	Croatia	Estonia	Italy	Sweden	Wales
AUSTYPRFCEAIDNLN	6	Austria	Cyprus	Finland	France	Ireland	Spain
PRCITOESULWDGANE	6	Iceland	Poland	Portugal	Scotland	Sweden	Wales
FRCZOANEMTICLAVH	6	Croatia	Czechia	France	Latvia	Malta	Romania
FINDARLNPOTACSUG	6	Austria	Finland	Poland	Portugal	Scotland	Spain
UKORNDRMGENALAIY	6	Andorra	Denmark	England	Germany	Romania	Ukraine
HUADSTRNIPAIOLYC	6	Austria	Cyprus	Italy	Lithuania	Poland	Spain
BNCAUGEIHLARDNYM	6	Bulgaria	England	Germany	Hungary	Iceland	Ireland
DENMSEAIWLVRATOK	6	Denmark	Latvia	Malta	Slovenia	Sweden	Wales
PLDNEOAGARTURICS	6	Andorra	Austria	Croatia	Ireland	Poland	Portugal
CYGSNEPUIARKAOMF	6	Cyprus	France	Germany	Romania	Spain	Ukraine
CSTDEOLNVNGAAKIF	6	England	Estonia	Finland	Scotland	Slovakia	Slovenia
SWEGFCEDIRNLKMAY	6	Denmark	France	Germany	Iceland	Ireland	Sweden
VHUGITANARLDRYOP	6	Andorra	Hungary	Italy	Latvia	Poland	Portugal
BNGFELICADEUNWSM	6	Belgium	England	Finland	Iceland	Sweden	Wales
UKRFTAIALVPNOSEC	6	France	Latvia	Slovakia	Slovenia	Spain	Ukraine
KRMYGEANNLEDFICE	6	Denmark	England	Finland	Germany	Greece	Iceland
IALYTNPCDARSMORU	6	Andorra	Croatia	Cyprus	Italy	Romania	Spain
ICEWERLAHEGNTNSD	6	England	Greece	Iceland	Ireland	Netherlands	Wales
SWEDLOVERAMNUKIA	6	Denmark	Romania	Slovakia	Slovenia	Sweden	Ukraine
BSVALUTIGARC_OPY	6	Austria	Bulgaria	Croatia	Cyprus	Latvia	Portugal
CZEGHCNLKIANURFD	6	Czechia	England	Finland	France	Iceland	Ukraine
HUNGSRAIYPTVCLAM	6	Cyprus	Hungary	Italy	Latvia	Malta	Spain
XUNDBELAMORGPUIA	5	Belgium	Bulgaria	Ireland	Luxembourg	Poland
CYIARLTIOANHMGU_	6	Croatia	Hungary	Italy	Lithuania	Malta	Romania
BEMYCULAEGITERAV	6	Belgium	Bulgaria	Greece	Italy	Latvia	Malta
BULGKEAMCRNOAIRD	6	Andorra	Bulgaria	Iceland	Ireland	Romania	Ukraine
PSGNOLEDAVANTKIW	6	England	Latvia	Poland	Slovakia	Slovenia	Wales
UKRFHAAMTLNIIDEC	6	Denmark	France	Iceland	Lithuania	Malta	Ukraine
ANDRLIORGTACNESP	6	Andorra	Croatia	England	Estonia	Scotland	Spain
BULGSTAEANRMYIDO	6	Austria	Bulgaria	Germany	Ireland	Malta	Romania
CZCHVENIOLAFSPND	6	Czechia	Finland	Iceland	Poland	Slovenia	Spain
KSEOURTNPAIVCYLA	6	Austria	Cyprus	Estonia	Italy	Latvia	Ukraine