IRANADTBQAUISKAW	5	Iran	Iraq	Kuwait	Qatar	Saudi Arabia
JMANSODGURYETPKC	5	Cyprus	Egypt	Jordan	Oman	Turkey
YMENLETIPASABHRQ	5	Bahrain	Israel	Palestine	Qatar	Yemen
OMANPSIWYRUTCEK_	5	Cyprus	Kuwait	Oman	Syria	Turkey
TSYGIPEBNRALEONQ	5	Egypt	Iran	Iraq	Lebanon	Palestine
JTIWORUAYKDNSEME	5	Jordan	Kuwait	Syria	Turkey	Yemen
_REBISALNTNPEOAQ	5	Iran	Israel	Lebanon	Palestine	Qatar
KUIASRWTCYPEGEMN	5	Cyprus	Egypt	Kuwait	Syria	Yemen
BHAQAPRILYTNGESE	5	Bahrain	Egypt	Iraq	Palestine	Syria
TBEYUAKLDRNNSIOJ	5	Iran	Israel	Jordan	Lebanon	Turkey
CASDAYUIIPRABATQ	5	Cyprus	Iraq	Qatar	Saudi Arabia	Syria
GBLNYEAOSPMN_TIE	5	Egypt	Lebanon	Oman	Palestine	Yemen
UAS_TRINHAKLBQEY	5	Bahrain	Iraq	Israel	Qatar	Turkey
JAMNIOAIBRDUAYSA	5	Iran	Jordan	Oman	Saudi Arabia	Syria
KUWQMLAPEEIRYNST	5	Iraq	Israel	Kuwait	Palestine	Yemen
LENJQBOMARANHTDI	5	Bahrain	Jordan	Lebanon	Oman	Qatar
INEGTSYMUPECRKAL	5	Cyprus	Egypt	Palestine	Turkey	Yemen
DULEISANARYIHABA	5	Bahrain	Iran	Israel	Saudi Arabia	Syria
CQAIGYTWEPUA_KRS	5	Cyprus	Egypt	Kuwait	Qatar	Turkey
LEBDYMARENOS_NIJ	5	Israel	Jordan	Lebanon	Oman	Yemen