MILLSOUIINNTADAH	5	Illinois	Indiana	Louisiana	Montana	Utah
MHSAOIWNNYOIGTSC	5	Iowa	Ohio	Washington	Wisconsin	Wyoming
FLVCOIAEIRDNGNIA	5	California	Florida	Indiana	Nevada	Virginia
MONACITNHOAEIGSX	5	Michigan	Minnesota	Montana	Ohio	Texas
HANDROWAEDILNIES	5	Delaware	Hawaii	Indiana	Iowa	Rhode Island
WASHMINISONACETG	5	Maine	Minnesota	Montana	Washington	Wisconsin
NORTDAHANIRCZOLO	5	Arizona	Colorado	Idaho	North Carolina	Ohio
MTSCAIOELWNNILIS	5	Illinois	Iowa	Maine	Minnesota	Wisconsin
WASONAHCGIIDTONM	5	Hawaii	Indiana	Michigan	Ohio	Washington
CENTIOWAXMNDREVA	5	Iowa	Montana	Nevada	New Mexico	Vermont
HASCWISOAIZNNRKA	5	Arizona	Arkansas	Hawaii	Kansas	Wisconsin
VLLIIRGNOEIOGHAS	5	Georgia	Illinois	Ohio	Oregon	Virginia
XENOMICDAWIHENAG	5	Hawaii	Indiana	Maine	Michigan	New Mexico
VRGIITHNOSEINWAX	5	Iowa	Texas	Virginia	Washington	West Virginia
IEDONIRHSDAAELNW	5	Delaware	Hawaii	Idaho	Indiana	Rhode Island
ALSKXABATERMVNOA	5	Alabama	Alaska	Nebraska	Texas	Vermont
ISEFDILDNAROWAHE	5	Delaware	Florida	Hawaii	Idaho	Rhode Island
GENEWORGHAIOMPSH	5	Georgia	Iowa	New Hampshire	Ohio	Oregon
TXASEMICWNOREYGK	5	Maine	New Mexico	New York	Texas	Wyoming
VRGIITANOSIWNHEO	5	Iowa	Ohio	Virginia	Washington	West Virginia
LOUITSSRAEAIXNNM	5	Louisiana	Maine	Minnesota	Missouri	Texas
TRANOHIDNLCOFORA	5	Colorado	Florida	Idaho	North Carolina	Ohio
UENMVTROOAATKNDH	5	Montana	Nevada	North Dakota	Utah	Vermont
COZKNILODARYHOMA	5	Arizona	Colorado	Idaho	Maryland	Oklahoma
MICHXANISEGIWTVR	5	Maine	Michigan	Texas	Virginia	West Virginia
VNDTEAANLRMOYIZ_	5	Arizona	Maryland	Montana	Nevada	Vermont
BASOALKUMOATATHD	5	Alabama	Alaska	Oklahoma	South Dakota	Utah
KCUGVYNTWEOIKRMA	5	Kentucky	Maine	New York	Vermont	Wyoming
COLFNAIOADRZINO_	5	Arizona	California	Colorado	Florida	Indiana
VABEDELRNAAYKSWM	5	Alaska	Delaware	Maryland	Nebraska	Nevada
OHIMGNWOTERYKUCK	5	Kentucky	New York	Ohio	Oregon	Wyoming
TEXENABENSSREAKA	5	Arkansas	Kansas	Nebraska	Tennessee	Texas
COLFHAIOTDRNUOSA	5	Colorado	Florida	Idaho	South Carolina	Utah
KRGIGEOAONWYTUCK	5	Georgia	Iowa	Kentucky	New York	Oregon
ALKBOSAAUSNMIRIA	5	Alabama	Alaska	Kansas	Louisiana	Missouri
AIGOMRNGSOEEEYWJ	5	Georgia	Maine	New Jersey	Oregon	Wyoming
NEVKBRSAAALDWMAE	5	Alabama	Alaska	Delaware	Nebraska	Nevada
OLLIIRGNVEIOTSWA	5	Illinois	Iowa	Oregon	Virginia	West Virginia
ALABYMADORANNTEV	5	Alabama	Maryland	Montana	Nevada	Vermont
SOHCUTADIRILANOF	5	California	Florida	Idaho	South Carolina	Utah
YMTAWOIGSERNGONK	5	Georgia	Minnesota	New York	Oregon	Wyoming
OKLDTNAHASOTSMUR	5	Kansas	North Dakota	Oklahoma	South Dakota	Utah
GEYENOWSIMRJAGEK	5	Georgia	Maine	New Jersey	New York	Wyoming
HAWMSSIAOINKLURA	5	Arkansas	Hawaii	Kansas	Louisiana	Missouri
IDALUTHKROOTSNMA	5	Idaho	North Dakota	Oklahoma	South Dakota	Utah
AYAELBRMEASANDWK	5	Alabama	Alaska	Delaware	Maryland	Nebraska
DHTSARAUOKOSTAN_	5	Arkansas	Kansas	North Dakota	South Dakota	Utah
OKIODFLCIAOANRHM	5	California	Colorado	Florida	Idaho	Oklahoma
ARK_UINAZOSALMIS	5	Arizona	Arkansas	Kansas	Louisiana	Missouri
LAEEASSETRKNBENA	5	Alaska	Arkansas	Kansas	Nebraska	Tennessee