CURTDRINFEATGRPS	7	Currant 	Durian  	Grape   	Grapefruit	Pear    	Redcurrant	Star fruit
PLUEOMATERANGNID	7	Date    	Mandarine	Orange  	Plantain	Plum    	Pomegranate	Tamarind
APRYSBPRNAELCRGO	7	Apple   	Crab apple	Cranberry	Grape   	Loganberry	Pear    	Raspberry
AIRPVCAOTOMDNSLE	7	Apricot 	Avocado 	Açaí    	Damson  	Lemon   	Melon   	Pomelo
BDGOMANETARICENA	7	Banana  	Date    	Mandarine	Mango   	Nectarine	Tamarind	Tangerine
PGECORNTIMAONELW	7	Mango   	Melon   	Nectarine	Orange  	Pomelo  	Tangerine	Watermelon
PLEHPEYCANAAWPIW	7	Apple   	Açaí    	Lychee  	Papaya  	Pawpaw  	Peach   	Pineapple
DATEVAMSNSUIOGLP	7	Damson  	Date    	Guava   	Lime    	Mango   	Plum    	Satsuma 
RRCHYAEKUPLBZUMB	7	Blackberry	Cherry  	Mulberry	Peach   	Pear    	Plum    	Yuzu
QUIPTNOWOCIMCLEK	7	Coconut 	Kiwi    	Lemon   	Lime    	Melon   	Pomelo  	Quince
RWVWGAPAUEYPZULA	7	Apple   	Grape   	Guava   	Papaya  	Pawpaw  	Pear    	Yuzu
CRANHYBORELMRBEU	7	Blueberry	Cherry  	Cranberry	Lemon   	Lychee  	Melon   	Mulberry
STNTPAIOERCUGFRH	7	Apricot 	Currant 	Grape   	Grapefruit	Peach   	Pear    	Star fruit
QEPPMULAEINCNTAE	7	Apple   	Açaí    	Clementine	Lime    	Plantain	Plum    	Quince
BETMANAAIRDNOUEG	7	Banana  	Date    	Durian  	Mandarine	Orange  	Tamarind	Tangerine